timestamp,open,high,low,close,volume,average,barCount,tick_volume,trade_count,vwap,broker,symbol
2026-03-08 23:00:00+00:00,102.21,103.28,100.45,102.88,8063.0,102.057,6194,8063.0,6194,102.057,ib,CL
2026-03-09 00:00:00+00:00,102.91,104.56,101.45,103.22,7559.0,103.072,6101,7559.0,6101,103.072,ib,CL
2026-03-09 01:00:00+00:00,103.25,109.21,102.8,108.7,12853.0,105.376,9599,12853.0,9599,105.376,ib,CL
2026-03-09 02:00:00+00:00,108.77,113.41,107.21,109.25,19087.0,110.128,13661,19087.0,13661,110.128,ib,CL
2026-03-09 03:00:00+00:00,109.26,110.86,106.36,110.15,8218.0,108.586,6358,8218.0,6358,108.586,ib,CL
2026-03-09 04:00:00+00:00,110.19,111.62,109.37,110.55,4488.0,110.448,3611,4488.0,3611,110.448,ib,CL
2026-03-09 05:00:00+00:00,110.55,110.59,98.62,99.64,19811.0,104.208,13467,19811.0,13467,104.208,ib,CL
2026-03-09 06:00:00+00:00,99.54,102.39,96.59,100.92,15610.0,99.775,9968,15610.0,9968,99.775,ib,CL
2026-03-09 07:00:00+00:00,100.79,100.82,97.34,99.48,11272.0,99.05,8473,11272.0,8473,99.05,ib,CL
2026-03-09 08:00:00+00:00,99.44,101.13,98.22,99.29,8815.0,99.341,7146,8815.0,7146,99.341,ib,CL
2026-03-09 09:00:00+00:00,99.22,100.51,93.16,96.65,9677.0,96.211,7048,9677.0,7048,96.211,ib,CL
2026-03-09 10:00:00+00:00,96.58,99.45,96.22,98.68,9308.0,98.094,6871,9308.0,6871,98.094,ib,CL
2026-03-09 11:00:00+00:00,98.69,99.11,97.0,97.58,5509.0,98.049,4517,5509.0,4517,98.049,ib,CL
2026-03-09 12:00:00+00:00,97.47,98.78,95.6,97.54,11429.0,96.981,8833,11429.0,8833,96.981,ib,CL
2026-03-09 13:00:00+00:00,97.54,97.55,93.4,95.56,36647.0,95.5,28340,36647.0,28340,95.5,ib,CL
2026-03-09 14:00:00+00:00,95.57,99.67,95.25,96.36,28497.0,96.934,22603,28497.0,22603,96.934,ib,CL
2026-03-09 15:00:00+00:00,96.34,96.44,91.0,91.47,28798.0,92.805,21580,28798.0,21580,92.805,ib,CL
